,0
0,6.143236095255071
1,6.022491744070342
2,5.898182298197891
3,5.755243142445882
4,5.6251951058705645
5,5.501052993716615
6,5.394650401491107
7,5.304118633270264
8,5.214002464756821
9,5.141618663614446
10,5.0718731518947715
11,4.999965732747858
12,4.954167799516157
13,4.8955058979265615
14,4.841524485385779
15,4.803865519436923
16,4.765314477862733
17,4.708582726391879
18,4.682125965754191
19,4.646217028299968
20,4.594250642892086
21,4.568198016195586
22,4.558257803772435
23,4.51872663786917
24,4.486014741839784
25,4.439699512539488
26,4.430445064197887
27,4.402689839854385
28,4.373192317558058
29,4.3452348709106445
30,4.294328516179865
31,4.280604106007201
32,4.2586647705598315
33,4.210900205554384
34,4.196331363735777
35,4.1559274521741
36,4.137313040820035
37,4.124430385502902
38,4.083300384608182
39,4.0681784694845025
40,4.056854844093323
41,4.028653878154176
42,3.997098272497004
43,3.9745480327895195
44,3.9650902206247505
45,3.924088232444994
46,3.926244844089855
47,3.9019473032517866
48,3.8959497502355864
49,3.877852779446226
